,appid,name,release_date,yrs_released,winter,spring,summer,fall,achievements,average_playtime,median_playtime,price,avg_owners,revenue,total_ratings,perc_pos_ratings,tags_per_game,multi,co-op,cont_supp,steam_achiev,steam_tc,steam_cloud,indie,action,adventure,casual,strategy,simulation,rpg,puzzle,2d,great_soundtrack,atmospheric,vr,difficult,story_rich,free_to_play,anime,horror,platformer,pixel_graphics,violent
0,10,Counter-Strike,2000-11-01,19,0,0,0,1,0,17612,317,7.19,15000000.0,107850000.0,127873,0.9738881546534452,20,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,20,Team Fortress Classic,1999-04-01,20,0,1,0,0,0,277,62,3.99,7500000.0,29925000.0,3951,0.8397873955960516,20,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,30,Day of Defeat,2003-05-01,16,0,1,0,0,0,187,34,3.99,7500000.0,29925000.0,3814,0.8956476140534871,16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,40,Deathmatch Classic,2001-06-01,18,0,0,1,0,0,258,184,3.99,7500000.0,29925000.0,1540,0.8266233766233766,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,50,Half-Life: Opposing Force,1999-11-01,20,0,0,0,1,0,624,415,3.99,7500000.0,29925000.0,5538,0.9479956663055255,20,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
5,60,Ricochet,2000-11-01,19,0,0,0,1,0,175,10,3.99,7500000.0,29925000.0,3442,0.8012783265543288,17,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,70,Half-Life,1998-11-08,21,0,0,0,1,0,1300,83,7.19,7500000.0,53925000.0,28855,0.9618783573037601,20,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
7,80,Counter-Strike: Condition Zero,2004-03-01,15,0,1,0,0,0,427,43,7.19,15000000.0,107850000.0,13559,0.8938712294416993,20,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
8,130,Half-Life: Blue Shift,2001-06-01,18,0,0,1,0,0,361,205,3.99,7500000.0,29925000.0,4242,0.900990099009901,18,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
9,220,Half-Life 2,2004-11-16,15,0,0,0,1,33,691,402,7.19,15000000.0,107850000.0,70321,0.9656006029493324,20,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0
10,240,Counter-Strike: Source,2004-11-01,15,0,0,0,1,147,6842,400,7.19,15000000.0,107850000.0,80137,0.9563622296816702,20,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
11,280,Half-Life: Source,2004-06-01,15,0,0,1,0,0,190,214,0.0,3500000.0,0.0,4820,0.7815352697095436,20,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
12,300,Day of Defeat: Source,2010-07-12,9,0,0,1,0,54,1356,134,7.19,7500000.0,53925000.0,11699,0.8965723566116762,20,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,320,Half-Life 2: Deathmatch,2004-11-01,15,0,0,0,1,0,311,32,3.99,15000000.0,59850000.0,6807,0.8843837226384604,14,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,340,Half-Life 2: Lost Coast,2005-10-27,14,0,0,0,1,0,46,29,0.0,15000000.0,0.0,6803,0.8500661472879611,20,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
15,360,Half-Life Deathmatch: Source,2006-05-01,13,0,1,0,0,0,102,81,0.0,7500000.0,0.0,1835,0.7422343324250681,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,380,Half-Life 2: Episode One,2006-06-01,13,0,0,1,0,13,281,184,5.79,7500000.0,43425000.0,8425,0.9386350148367952,20,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
17,400,Portal,2007-10-10,12,0,0,0,1,15,288,137,7.19,15000000.0,107850000.0,52881,0.9795767856129801,20,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0
18,420,Half-Life 2: Episode Two,2007-10-10,12,0,0,0,1,22,354,301,5.79,7500000.0,43425000.0,14598,0.9523222359227291,20,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0
19,440,Team Fortress 2,2007-10-10,12,0,0,0,1,520,8495,623,0.0,35000000.0,0.0,549915,0.9381067983233773,20,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20,500,Left 4 Dead,2008-11-17,11,0,0,0,1,73,897,278,7.19,7500000.0,53925000.0,18899,0.9498386157997778,20,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
21,550,Left 4 Dead 2,2009-11-19,10,0,0,0,1,70,1615,566,7.19,15000000.0,107850000.0,260207,0.9676488334287702,20,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,570,Dota 2,2013-07-09,6,0,0,1,0,0,23944,801,0.0,150000000.0,0.0,1005586,0.8587102445738107,20,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
23,620,Portal 2,2011-04-18,8,0,1,0,0,51,1102,520,7.19,15000000.0,107850000.0,140111,0.9865035578933845,20,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
24,630,Alien Swarm,2010-07-19,9,0,0,1,0,66,371,83,0.0,3500000.0,0.0,18376,0.9487919024814976,20,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25,730,Counter-Strike: Global Offensive,2012-08-21,7,0,0,1,0,167,22494,6502,0.0,75000000.0,0.0,3046717,0.8679519627192155,20,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26,1002,Rag Doll Kung Fu,2005-10-12,14,0,0,0,1,0,0,0,5.99,35000.0,209650.0,57,0.7017543859649122,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1200,Red Orchestra: Ostfront 41-45,2006-03-14,13,0,1,0,0,44,232,258,3.99,750000.0,2992500.0,1785,0.8750700280112045,16,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28,1250,Killing Floor,2009-05-14,10,0,1,0,0,285,1328,306,14.99,3500000.0,52465000.0,56359,0.9529977465888323,20,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
29,1300,SiN Episodes: Emergence,2006-05-10,13,0,1,0,0,0,0,0,7.19,150000.0,1078500.0,529,0.8846880907372401,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1500,Darwinia,2005-07-14,14,0,0,1,0,0,182,273,7.19,750000.0,5392500.0,630,0.7492063492063492,8,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
31,1510,Uplink,2006-08-23,13,0,0,1,0,0,65,77,6.99,750000.0,5242500.0,1754,0.9133409350057012,18,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0
32,1520,DEFCON,2006-09-29,13,0,0,0,1,22,80,119,7.19,750000.0,5392500.0,2401,0.8567263640149938,17,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
33,1530,Multiwinia,2008-09-19,11,0,0,0,1,12,121,224,7.19,750000.0,5392500.0,443,0.8306997742663657,6,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1600,Dangerous Waters,2006-02-07,13,1,0,0,0,0,0,0,22.99,75000.0,1724249.9999999998,184,0.7608695652173914,4,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
