,appid,name,release_date,yrs_released,winter,spring,summer,fall,achievements,average_playtime,median_playtime,price,avg_owners,revenue,total_ratings,perc_pos_ratings,tags_per_game,multi,co-op,cont_supp,steam_achiev,steam_tc,steam_cloud,indie,action,adventure,casual,strategy,simulation,rpg,puzzle,2d,great_soundtrack,atmospheric,vr,difficult,story_rich,free_to_play,anime,horror,platformer,pixel_graphics,violent
11,280,Half-Life: Source,2004-06-01,15,0,0,1,0,0,190,214,0.0,3500000.0,0.0,4820,0.7815352697095436,20,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
15,360,Half-Life Deathmatch: Source,2006-05-01,13,0,1,0,0,0,102,81,0.0,7500000.0,0.0,1835,0.7422343324250681,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,730,Counter-Strike: Global Offensive,2012-08-21,7,0,0,1,0,167,22494,6502,0.0,75000000.0,0.0,3046717,0.8679519627192155,20,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
59,2400,The Ship: Murder Party,2006-07-11,13,0,0,1,0,0,233,239,0.0,1500000.0,0.0,5611,0.8588486900730707,20,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
62,2520,Gumboy - Crazy Adventures™,2006-12-19,13,1,0,0,0,0,0,0,0.0,75000.0,0.0,98,0.5306122448979592,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,4560,Company of Heroes - Legacy Edition,2007-07-17,12,0,0,1,0,0,175,186,0.0,3500000.0,0.0,5092,0.9371563236449332,20,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
135,4700,Total War: MEDIEVAL II – Definitive Edition,2006-11-15,13,0,0,0,1,0,469,361,0.0,3500000.0,0.0,10875,0.944367816091954,20,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
139,4780,Medieval II: Total War™ Kingdoms,2007-08-28,12,0,0,1,0,0,0,0,0.0,350000.0,0.0,615,0.9512195121951219,13,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
145,4900,Zen of Sudoku,2006-12-14,13,1,0,0,0,0,0,0,0.0,10000.0,0.0,139,0.8776978417266187,3,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
210,8310,Bone: Out From Boneville,2008-06-17,11,0,0,1,0,0,0,0,0.0,150000.0,0.0,149,0.5234899328859061,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,8320,Bone: The Great Cow Race,2008-06-17,11,0,0,1,0,0,0,0,0.0,150000.0,0.0,77,0.5714285714285714,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,9050,DOOM 3,2007-08-03,12,0,0,1,0,0,362,394,0.0,350000.0,0.0,3009,0.8750415420405451,20,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
230,9160,Master Levels for Doom II,2007-08-03,12,0,0,1,0,0,7,12,0.0,750000.0,0.0,379,0.8179419525065963,16,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
271,11130,Sherlock Holmes: The Mystery of the Mummy,2009-08-06,10,0,0,1,0,0,0,0,0.0,150000.0,0.0,189,0.31216931216931215,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,12170,Grand Theft Auto,2008-01-04,11,1,0,0,0,0,7,7,0.0,750000.0,0.0,229,0.868995633187773,11,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
471,22120,Penumbra: Black Plague Gold Edition,2009-01-23,10,1,0,0,0,0,188,189,0.0,350000.0,0.0,1475,0.9464406779661017,20,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0
473,22180,Penumbra Overture,2009-03-06,10,0,1,0,0,0,37,43,0.0,750000.0,0.0,1824,0.9100877192982456,16,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
