,trips_in_first_30_days,signup_date,avg_rating_of_driver,avg_surge,last_trip_date,surge_pct,ultimate_black_user,weekday_pct,avg_dist,avg_rating_by_driver,active,iPhone,city_King's Landing,city_Winterfell
0,4,2014-01-25,4.7,1.1,2014-06-17,15.4,1,46.2,3.67,5.0,1,1,1,0
1,0,2014-01-29,5.0,1.0,2014-05-05,0.0,0,50.0,8.26,5.0,0,0,0,0
2,3,2014-01-06,4.3,1.0,2014-01-07,0.0,0,100.0,0.77,5.0,0,1,0,0
3,9,2014-01-10,4.6,1.14,2014-06-29,20.0,1,80.0,2.36,4.9,1,1,1,0
4,14,2014-01-27,4.4,1.19,2014-03-15,11.8,0,82.4,3.13,4.9,0,0,0,1
5,2,2014-01-09,3.5,1.0,2014-06-06,0.0,1,100.0,10.56,5.0,1,1,0,1
6,1,2014-01-24,4.9,1.0,2014-01-25,0.0,0,100.0,3.95,4.0,0,0,0,0
7,2,2014-01-28,5.0,1.0,2014-01-29,0.0,0,100.0,2.04,5.0,0,1,0,1
8,2,2014-01-21,4.5,1.0,2014-02-01,0.0,0,100.0,4.36,5.0,0,0,0,1
9,1,2014-01-03,4.9,1.0,2014-01-05,0.0,0,0.0,2.37,5.0,0,0,0,1
10,1,2014-01-13,5.0,1.0,2014-05-30,0.0,1,100.0,4.28,4.9,0,1,0,1
11,3,2014-01-06,4.0,1.0,2014-01-10,0.0,0,100.0,3.81,5.0,0,1,0,1
12,1,2014-01-15,4.9,1.0,2014-03-12,0.0,0,100.0,20.29,5.0,0,1,0,1
13,0,2014-01-29,4.0,1.38,2014-06-08,50.0,0,50.0,3.04,5.0,1,1,1,0
14,1,2014-01-27,4.9,1.0,2014-01-28,0.0,0,100.0,26.01,5.0,0,0,0,0
15,1,2014-01-15,4.9,1.0,2014-01-16,0.0,1,100.0,13.2,5.0,0,0,0,1
16,1,2014-01-11,5.0,1.0,2014-06-28,0.0,1,50.0,10.86,3.0,1,0,1,0
17,0,2014-01-12,3.9,1.0,2014-07-01,0.0,1,95.2,2.38,4.8,1,1,1,0
18,6,2014-01-28,4.6,1.21,2014-06-24,30.8,1,80.8,6.83,4.8,1,1,1,0
19,0,2014-01-02,5.0,1.17,2014-06-03,33.3,0,66.7,12.08,5.0,1,1,1,0
20,1,2014-01-31,4.9,1.0,2014-03-16,0.0,0,50.0,2.53,3.0,0,0,0,1
21,1,2014-01-09,4.9,1.0,2014-04-29,0.0,0,100.0,3.31,5.0,0,1,0,0
22,0,2014-01-24,4.9,1.0,2014-05-02,0.0,0,100.0,11.47,5.0,0,1,0,1
23,0,2014-01-21,5.0,1.0,2014-06-13,0.0,1,100.0,7.74,5.0,1,0,1,0
24,4,2014-01-19,4.5,1.02,2014-05-18,9.1,0,36.4,2.1,4.7,0,1,0,0
25,1,2014-01-02,4.9,1.0,2014-01-03,0.0,1,100.0,14.48,5.0,0,1,0,1
26,1,2014-01-16,4.0,1.0,2014-01-22,0.0,0,100.0,1.66,5.0,0,0,0,0
27,3,2014-01-19,5.0,1.05,2014-03-05,20.0,0,100.0,3.05,5.0,0,1,0,1
28,0,2014-01-19,4.9,1.5,2014-06-08,100.0,0,0.0,5.97,5.0,1,1,0,1
29,1,2014-01-27,4.0,1.0,2014-02-27,0.0,0,100.0,11.25,5.0,0,0,0,0
30,4,2014-01-26,5.0,1.0,2014-02-07,0.0,1,25.0,6.12,4.8,0,1,0,0
31,1,2014-01-25,4.9,1.0,2014-06-14,0.0,0,40.0,11.86,5.0,1,1,0,1
